t,theta,theta_dot,xc,xc_dot,theta_hat,theta_dot_hat,xc_hat,xc_dot_hat,theta_meas,xc_meas,xc_ref,tracking_error,u_cmd_unsat,u_cmd_sat,u_actual,disturbance,theta_est_error_deg,xc_est_error
0.155,0.0787251236390976,-0.181853800407549,0.0445317385769338,0.860256755890612,0.0410477112683611,-0.11679638172133,0.0354463905487966,0.860807991310124,0.0788571423216741,0.0490675877909243,0,-0.0490675877909243,43.1205882857445,20,19.3620613723466,0,2.1587567118172,0.0090853480281372
0.16,0.0777896974548681,-0.192318719803065,0.048947599516736,0.906087631568389,0.0412996424923266,-0.126142703699107,0.0398101624246922,0.907467590452848,0.0786922778821296,0.0478440466075602,0,-0.0478440466075602,43.056963551198,20,19.4418037008032,0,2.09072614355403,0.00913743709204382
0.165,0.0768017912704605,-0.202845972310232,0.0535931130660972,0.95211803321415,0.0415115242971663,-0.135532152582666,0.0443121284233117,0.954158736680949,0.0761573718344367,0.054456626686785,0,-0.054456626686785,42.9585683481368,20,19.5115782382028,0,2.02198335545968,0.00928098464278555
0.17,0.0757611063043619,-0.213430404833003,0.0584692182828718,0.998324532685356,0.0416066670998816,-0.145120428563145,0.049097061807479,1.00116969219041,0.0773379247368168,0.0601173966481186,0,-0.0601173966481186,42.7396603796624,20,19.5726309584275,0,1.95690521805288,0.00937215647539277
0.175,0.0746673676023445,-0.224067639319364,0.0635767448474638,1.04468680648684,0.0416764479457663,-0.154689831215118,0.0541271859993844,1.04832484798543,0.0765248396959712,0.0662925062349941,0,-0.0662925062349941,42.534274828925,20,19.6260520886241,0,1.89024045857712,0.0094495588480794
0.18,0.0735203204069909,-0.234753974886283,0.0689164276070869,1.09118724424047,0.0416745852628535,-0.164344552454302,0.0594171048438388,1.09567481188152,0.0725387396544514,0.0705624492010368,0,-0.0705624492010368,42.2740068134625,20,19.672795577546,0,1.82462621925052,0.00949932276324812
0.185,0.0723197269860913,-0.245486302143,0.0744889192844174,1.1378106059642,0.0415351486323402,-0.174241195599239,0.0649446944925385,1.14323261853983,0.0759141281546012,0.0675556035723071,0,-0.0675556035723071,41.8517007177209,20,19.7136961303528,0,1.76382641375973,0.00954422479187898
0.19,0.0710653638627407,-0.256262028184726,0.0802948015794119,1.18454372205105,0.0414525914669576,-0.183936464678943,0.0705453845278111,1.1905212542572,0.0722467569651516,0.0780799103136339,0,-0.0780799103136339,41.53284092749,20,19.7494841140587,0,1.69668687795988,0.00974941705160079
0.195,0.0697570193971271,-0.267079010919854,0.0863345948644218,1.23137523060236,0.0412241313715372,-0.193872902779448,0.0764848125718397,1.23816561877223,0.0684854479214327,0.0884321230909037,0,-0.0884321230909037,41.062449842558,20,19.7807985998014,0,1.63481406118567,0.00984978229258208
0.2,0.0683944916762689,-0.277935501561048,0.0926087666476812,1.2782953474379,0.0408512596616717,-0.204045294247909,0.0827556408387272,1.28614054909038,0.0696011849019604,0.0969022718130846,0,-0.0969022718130846,40.4414518551121,20,19.8081987748262,0,1.57811094858603,0.00985312580895406
0.205,0.0669775866734404,-0.288830094256827,0.0991177389583196,1.32529566469042,0.0404555747119182,-0.214170274412132,0.0892975830111588,1.33421591849409,0.0659070907378886,0.100288240336569,0,-0.100288240336569,39.8453926800147,20,19.8321739279729,0,1.51959934959071,0.00982015594716082
0.21,0.065506116643822,-0.299761681968286,0.105861894786867,1.3723689744037,0.0399420947507115,-0.224483312157574,0.0960405116441974,1.38236401855405,0.0651959558728364,0.103487869257183,0,-0.103487869257183,39.1106395321045,20,19.8531521869763,0,1.46471056185527,0.00982138314266928
0.215,0.0639798987271093,-0.310729417807552,0.112841583698434,1.41950911400099,0.0393828313005853,-0.234813941464137,0.102963557011937,1.43047258522461,0.0652041434686537,0.110312846451363,0,-0.110312846451363,38.3446997705309,20,19.8715081636043,0,1.40930815193854,0.009878026686497
0.22,0.0623987537314855,-0.321732681152559,0.12005712672107,1.46671083088227,0.0387853446762811,-0.245134949703589,0.110122787187005,1.47862019299868,0.0603100667424508,0.117273449053915,0,-0.117273449053915,37.5720498538576,20,19.8875696431537,0,1.35294867877921,0.00993433953406579
0.225,0.0607625050765749,-0.332771047938442,0.127508820598933,1.51396966375183,0.0380373165598773,-0.255710322440924,0.117539404694979,1.52694880693224,0.0600712412599608,0.129776629598343,0,-0.129776629598343,36.622829009936,20,19.9016234377595,0,1.30205739064593,0.00996941590395473
0.23,0.0590709778758083,-0.343844264600821,0.135196941488688,1.56128183857694,0.0372333337836259,-0.266303046010894,0.125283638654925,1.57547403305086,0.0567281682348131,0.134880456641087,0,-0.134880456641087,35.6601712188282,20,19.9139205080396,0,1.25120484099085,0.00991330283376279
0.235,0.057323998141087,-0.354952225211885,0.143121748167691,1.60864417734148,0.0363252971547716,-0.27704492530289,0.13323651183187,1.62404549664266,0.0559528245802125,0.145275279476295,0,-0.145275279476295,34.5821366382859,20,19.9246804445346,0,1.20313694177307,0.00988523633582042
0.24,0.0555213920947868,-0.366094951407538,0.151283484813912,1.65605401798729,0.0353594848727079,-0.287813821815762,0.141474039136284,1.67273827516661,0.0573738248831248,0.148478357682539,0,-0.148478357682539,33.4779789759069,20,19.9340953889678,0,1.15519219075946,0.00980944567762856
0.245,0.0536629855760257,-0.377272574754143,0.159682383410032,1.70350914413727,0.0344098307505871,-0.29845388206521,0.149856414576959,1.72124747743402,0.0506996351526811,0.16246693507714,0,-0.16246693507714,32.4307414521442,20,19.9423334653468,0,1.10312451380957,0.00982596883307293
0.25,0.0517486035297664,-0.388485321247269,0.168318665817524,1.7510077233698,0.0332579940086908,-0.30945350297888,0.158605497268631,1.77015203768983,0.0506324879123963,0.168106392571063,0,-0.168106392571063,31.1510931181896,20,19.9495417821785,0,1.05943388618204,0.00971316854889323
0.255,0.0497780695687662,-0.399733497673353,0.177192545560814,1.79854825296784,0.0320853744341863,-0.320405857175734,0.167540013248791,1.81897230167743,0.0497211633456249,0.182423048897859,0,-0.182423048897859,29.8800917509087,20,19.9558490594062,0,1.01371675942307,0.00965253231202379
0.26,0.0477512055996494,-0.41101747959876,0.186304229356506,1.84612951220075,0.0308483090833442,-0.331393349403573,0.176810897932482,1.86799708466847,0.0447986208956292,0.181617739979175,0,-0.181617739979175,28.5838398165466,20,19.9613679269804,0,0.968464631930673,0.00949333142402445
0.265,0.0456678315054797,-0.422337700780191,0.1956539184183,1.89375052031419,0.0295004040050629,-0.342563203629272,0.18616912012931,1.91686489455105,0.0461856314198005,0.192472742735724,0,-0.192472742735724,27.1335825348739,20,19.9661969361078,0,0.926325361357621,0.00948479828898968
0.27,0.0435277648781765,-0.433694643816122,0.205241809564323,1.94141049950706,0.028155619268277,-0.353618394386355,0.195784887010694,1.96574025488071,0.0394903829732998,0.205953789645139,0,-0.205953789645139,25.7452777075706,20,19.9704223190944,0,0.880759065507795,0.00945692255362837
0.275,0.0413308207949665,-0.445088831881478,0.21506809615024,1.98910884226391,0.0266203305154392,-0.365009777134737,0.205737201574073,2.0149447277871,0.0417303013195632,0.215829735893605,0,-0.215829735893605,24.1354640954876,20,19.9741195292076,0,0.842849007585133,0.00933089457616723
0.28,0.039076811633797,-0.456520821407481,0.225132968848537,2.03684508249075,0.0251157491011204,-0.376225536737272,0.21591655146902,2.06407732515935,0.0399285402720594,0.222864493086854,0,-0.222864493086854,22.6232770721198,20,19.9773545880566,0,0.79990996064059,0.00921641737951701
0.285,0.0367655469232891,-0.467991195585846,0.23543661629178,2.08461886997067,0.0235573996825934,-0.387473205521726,0.226288331848857,2.11316583128262,0.034225460022095,0.235749164133017,0,-0.235749164133017,21.0691060562986,20,19.9801852645495,0,0.756771092079232,0.00914828444292334
0.29,0.0343968332233729,-0.479500558591611,0.2459792255954,2.1324299477164,0.0218394649861183,-0.398988384371094,0.236968593706413,2.16250580334118,0.0334263955518868,0.248529428233474,0,-0.248529428233474,19.3346779244844,19.3346779244844,19.9826621064809,0,0.719484201786326,0.0090106318889866
0.295,0.0319704740332422,-0.491049530432103,0.256760982773558,2.18027813184984,0.020079097270241,-0.410495908800094,0.247927734731838,2.21193131746507,0.0331590892669019,0.252290450070384,0,-0.252290450070384,17.6133673236763,17.6133673236763,19.9016640837313,0,0.681325701119907,0.00883324804171939
0.3,0.0294863995206643,-0.502586826601695,0.267781553622758,2.22795553474458,0.0183168196549158,-0.421871806296311,0.25900198482291,2.26092666658469,0.0289334697073858,0.272025742904857,0,-0.272025742904857,15.9192848639156,15.9192848639156,19.6156269887244,0,0.639969785241687,0.00877956879984831
0.305,0.0269449860689508,-0.513985249527779,0.279038805192228,2.27495056868008,0.0164152840497102,-0.433274051869296,0.27048318066629,2.30959648529955,0.0232298202970961,0.279383338625499,0,-0.279383338625499,14.1211916076284,14.1211916076284,19.1535842231233,0,0.603307485232869,0.00855562452593778
0.31,0.0243472007526324,-0.525135718260549,0.290528228228708,2.32082429509549,0.0143807294595535,-0.444611427629772,0.282153883533923,2.35714618968884,0.0244286623761312,0.287265566749739,0,-0.287265566749739,12.1913983169359,12.1913983169359,18.5245351461864,0,0.571036741731714,0.00837434469478537
0.315,0.0216945420355818,-0.535934757127521,0.302243175246317,2.3651603587964,0.0123754561973245,-0.455399945048254,0.293981401856996,2.4029551605612,0.0222604823899058,0.303891589313374,0,-0.303891589313374,10.3870981629541,10.3870981629541,17.7328930425301,0,0.533944287452282,0.00826177338932044
0.32,0.0189890189032995,-0.546281632707342,0.314174944813667,2.40755353759405,0.0102984374372549,-0.465760716536795,0.306122078871,2.44698902459535,0.0191161413419045,0.319709896913661,0,-0.319709896913661,8.59862745579005,8.59862745579005,16.8146686825831,0,0.497933639518972,0.00805286594266741
0.325,0.0162330877989888,-0.556098093676032,0.326313034673304,2.44768871781837,0.00813414109321866,-0.47566027477839,0.318551799933066,2.48892595428819,0.017099947929212,0.334208915111474,0,-0.334208915111474,6.80498375589647,6.80498375589647,15.787663529234,0,0.464035464742013,0.00776123474023799
0.33,0.0134295686498883,-0.565316997137058,0.338645478484504,2.48529537844673,0.00591772717217292,-0.484958836392714,0.331226457255813,2.52840845236809,0.0142752893788637,0.345131489239085,0,-0.345131489239085,5.05809760803389,5.05809760803389,14.6648285575668,0,0.430396813044408,0.00741902122869148
0.335,0.0105815968935488,-0.573879281618707,0.351159038491625,2.52013547434178,0.00364585501496038,-0.493621733027361,0.344070938128996,2.56510219629585,0.0131806534866528,0.350446013373603,0,-0.350446013373603,3.3418242407077,3.3418242407077,13.4639871888752,0,0.397388737435255,0.00708810036262919
0.34,0.00769257544998546,-0.581737015183913,0.363839398372125,2.5520156225788,0.00137995120016448,-0.501478243604603,0.356962582514346,2.5985780694587,0.00559298898103533,0.359482786992215,0,-0.359482786992215,1.72855485655307,1.72855485655307,12.2139871888752,0,0.36168672716668,0.00687681585777922
0.345,0.00476610184607573,-0.588860286017142,0.376671455439529,2.58081465636247,-0.00103722653441421,-0.508868143073706,0.36997954105825,2.62902808823282,0.0011932784018539,0.381198092605828,0,-0.381198092605828,-0.00519008941173765,-0.00519008941173765,10.9639871888752,0,0.332506223330565,0.00669191438127897
0.35,0.00180584638907466,-0.595249891548134,0.389639808599906,2.60653436975894,-0.00356270488537532,-0.515667901846226,0.38330911745865,2.65674506126033,0.00343793255113849,0.387691839074264,0,-0.387691839074264,-1.74963708289282,-1.74963708289282,9.71398718887518,0,0.307595330125563,0.0063306911412559
0.355,-0.0011845245601279,-0.600906613478706,0.402729065845615,2.62917660489467,-0.00599171036225388,-0.521442424850253,0.396636223116518,2.68103842697689,-0.00184094164641292,0.407183456554759,0,-0.407183456554759,-3.25981708572776,-3.25981708572776,8.46398718887518,0,0.27543145779703,0.00609284272909699
0.36,-0.00420134851797561,-0.605831221558925,0.415923844522125,2.64874326237319,-0.00853362039037254,-0.526663058618519,0.410205207143037,2.70254664010753,-0.00663047974515095,0.420022788067267,0,-0.420022788067267,-4.80589897230597,-4.80589897230597,7.21398718887518,0,0.248220893991583,0.00571863737908834
